id,label,review
208,1,这是一本好书。仅仅是因为至少它发出的是一种自由的声音。今天刚刚收到，已迫不及待的开始阅读了。读完了第一篇：宋强著的《必须正视的内政“愤懑”》，知道还有这些负责人的编辑和电视制作人，感到很安慰。同样安慰的时，现在不再听到电视新闻中动不动就是“盛事”的赞歌；看到政协会议上，国家领导人的列席；了解到各项表决中终于有了反对的声音，而不总是全票通过。
3282,0,看到推荐的很好，就买了。宝宝好像不喜欢，连看也不看就扔到沙发后面了。郁闷阿，，，，，，
2563,0,我以前买过他的《士兵》，不错，见有了新书，以为是续集，兴冲冲买来一看，和原来那本内容相同，文笔改了，感觉还没有原版本好看，作者不厚道。
3481,0,"刚刚收到书5分钟,就跑来反馈了,真好玩,书宽宽大大的,封面那些个傻忽忽的猫,挺逗的,没顾上翻看呢,嘿嘿,看完和大家分享去!!!拉拉"
2023,1,"又帮朋友买了一本,让大家都感受作者的智慧"
3164,0,买的时候，看了评论都说不错可是买来才知道，其实也就那样我还没给孩子看呢我想，她也许不会喜欢
1035,1,上了大学后，经历了周遭无数女生恋爱的告吹，感受了无数明明自己没有安全感却还要给别人温暖的真情，开始明白无论女生多可怕她们也只是天使与恶魔的统一。我们的生活有太多的麻烦，无论是过去的还是没过来的，我们需要寻找安慰，找寻出口，追逐快乐，取得幸福。所以有一本圣经总是好的，有一本圣经总会让我们觉得在成长的道路上并不孤独。
3422,0,韩国的老师，一个噱头而已，对记单词实在没什么用的。不过纸张和印刷不错，当然，这也是成本之内的。
895,1,虽然我还未为人母，手边却有好几本关于如何培养孩子的书了，有的是朋友的作品，赠阅，有的是别人留在办公室的。而这一本《自尊女孩》，却是我买的。首先是喜欢封面，其次是喜欢封面上的“100个建议”——对于我这样的忙人来说，直接给我建议，好过让我长篇累牍地阅读。买来放在床头看了一个小时，事实证明了我的眼光没看偏。算是提前预习吧，在将来有了宝宝后，我会告诉他，妈妈就是从这本书里学会如何爱你的。
3391,0,很简单，比较适合1岁内宝宝，纸也不厚，建议这种简单的可以做小一点，方便宝宝拿取。
